sno,heading,sub-heading,link
25,Three of a family killed as SUV rams stationary lorry near Virudhunagar,Five others suffered injuries in the accident that happened near R R Nagar on the Tirunelveli-Virudhunagar national highway.,https://timesofindia.indiatimes.com/city/madurai/three-of-a-family-killed-as-suv-rams-stationary-lorry-near-virudhunagar/articleshow/45685009.cms
26,Five students injured in Road accident,Callousness of a Haryana Roadways driver lead to a major accident which left five school students injured.The accidents took place on Wednesday when the bus hit an auto rickshaw ferrying five schools students.,https://timesofindia.indiatimes.com/city/gurgaon/five-students-injured-in-road-accident/articleshow/20901754.cms
27,"1 dead, 2 injured in separate Road accidents","One person lost his life, while two were severely injured in two separate accidents in Lalru district on Tuesday.",https://timesofindia.indiatimes.com/city/chandigarh/1-dead-2-injured-in-separate-road-accidents/articleshow/42656202.cms
28,Nursing student dies in Road accident,A 23-year-old student pursuing bachelor's degree in nursing was crushed to death by a rashly driven truck at New Sanganer Road area in the city on Monday.,https://timesofindia.indiatimes.com/city/jaipur/nursing-student-dies-in-road-accident/articleshow/20867860.cms
29,Cop dies in Road accident,"A police constable, attached to rural police, died on the spot after his car was hit by a truck near Dahegaon, on Nagpur-Saoner Road, on Thursday.",https://timesofindia.indiatimes.com/city/nagpur/cop-dies-in-road-accident/articleshow/16691162.cms
30,13 die in Road accident in West Bengal,"In the accident, 12 men and a child died at Aat Mile area when the truck coming from the opposite side collided head on with the vehicle at about 7.30am.",https://timesofindia.indiatimes.com/city/kolkata/13-die-in-road-accident-in-west-bengal/articleshow/30199767.cms
31,Two die in Road accidents in Tiruvallur district,Two people died in separate Road accidents at Uthukottai and Tiruttani in Tiruvallur districts on Sunday.,https://timesofindia.indiatimes.com/city/chennai/two-die-in-road-accidents-in-tiruvallur-district/articleshow/30163256.cms
32,2 youths die in Road accident,Two youth were killed in an accident near Parsat village in Madiyahu in Jaunpur district on Thursday.,https://timesofindia.indiatimes.com/city/varanasi/2-youths-die-in-road-accident/articleshow/20696400.cms
33,2 teachers die in Road accident near Jind,Two teachers of a convent school in Jind were killed and their driver injured when the jeep they were travelling in collided with a mini-truck near Gosain on Wednesday morning.,https://timesofindia.indiatimes.com/city/chandigarh/2-teachers-die-in-road-accident-near-jind/articleshow/41637354.cms
34,Fatal Road accidents in Delhi at 26-yr-low. Jams behind drop?,"Delhi achieved the remarkable feat in 2015 of recording the lowest number of fatal accidents in at least 26 years, but experts say the reasons for the fall may not be entirely flattering.",https://timesofindia.indiatimes.com/city/delhi/fatal-road-accidents-in-delhi-at-26-yr-low-jams-behind-drop/articleshow/50556153.cms
35,One dies in Road accident at Malpem,One person died and six were injured when the jeep they were travelling in crashed into a rock along the NH 17 at Malpem in Pernem on Tuesday night.,https://timesofindia.indiatimes.com/city/goa/one-dies-in-road-accident-at-malpem/articleshow/20672064.cms
36,Two killed in Junagadh Road accident,"Two residents of Rajkot were killed, while seven others were injured in a Road accident in Mendrada taluka of Junagadh district on Tuesday.",https://timesofindia.indiatimes.com/city/rajkot/two-killed-in-junagadh-road-accident/articleshow/20670565.cms
37,"Road accidents down in city, traffic cops claim credit",,https://timesofindia.indiatimes.com/city/agra/road-accidents-down-in-city-traffic-cops-claim-credit/articleshow/46447270.cms
38,Two of family die in Road accident,A city-based jeweller and his nephew died in a Road accident near Chharodi village on Friday evening. Police have started search for the truck driver who is on the run.,https://timesofindia.indiatimes.com/city/ahmedabad/two-of-family-die-in-road-accident/articleshow/20618885.cms
39,Student dies in ring Road accident,A BBM student was killed on the spot after his two-wheeler collided against an oncoming two-wheeler on Ring Road near Bannur here on Friday night.,https://timesofindia.indiatimes.com/city/mysuru/student-dies-in-ring-road-accident/articleshow/20608745.cms
40,Tarn Taran ADC dies in Road accident,Tarn Taran additional deputy commissioner (ADC) Kulbir Singh died in a Road accident after his Honda car collided head-on with a small commercial vehicle Tata Ace on Monday morning.,https://timesofindia.indiatimes.com/city/chandigarh/tarn-taran-adc-dies-in-road-accident/articleshow/29833965.cms
41,Engineering student dies in Road accident,A 19-year-old engineering student of a college in the city was killed in a Road accident on Morbi Road on Friday morning.The deceased was identified as Jaydeep Vijda.,https://timesofindia.indiatimes.com/city/rajkot/engineering-student-dies-in-road-accident/articleshow/20595518.cms
42,"DSP injured in Road accident, while trying to save herd of dozen nilgai","In an early morning Road accident, deputy superintendent of police Kasganj along with his two junior cops suffered head and leg injuries, after their SUV took high speed turn to save herd of nearly dozen nilgai (Asia’s largest antelopes).",https://timesofindia.indiatimes.com/city/agra/dsp-injured-in-road-accident-while-trying-to-save-herd-of-dozen-nilgai/articleshow/50496638.cms
43,"No end to Himachal's highway horrors: 24 killed in two Road accidents in Kinnaur, Shimla","Twenty-four people were killed in two Road accidents in Kinnaur and Shimla districts of Himachal Pradesh since Friday night. While 13 people were killed in Kinnaur district when a Mahindra Bolero rolled down a 400-metre-deep gorge on the Chora-Bara Khamba link road in Nichar sub-division on Friday night, the remaining 11 were killed when a Himachal Pradesh Road Transport Corporation (HRTC) bus met with an accident at Bajroli bridge, 4km beyond Sainj, on the Theog-Chopal road in Shimla district on Saturday morning.",https://timesofindia.indiatimes.com/city/shimla/no-end-to-himachals-highway-horrors-24-killed-in-two-road-accidents-in-kinnaur-shimla/articleshow/52381680.cms
