sno,heading,sub-heading,link
1564,"Road accidents claim three lives, 17 injured",NEW DELHI: Three persons were killed and 17 others injured in four separate Road accidents reported since Wednesday. All the accidents were caused by speeding vehicles.,https://timesofindia.indiatimes.com/city/delhi/road-accidents-claim-three-lives-17-injured/articleshow/1389659242.cms
1565,"2 killed, 7 injured in separate Road accidents",PUNE: Two persons died and seven others were injured in two separate Road accidents in the city since Friday.,https://timesofindia.indiatimes.com/city/pune/2-killed-7-injured-in-separate-road-accidents/articleshow/1507261647.cms
1566,"2 killed, 33 injured in Road accident near Malda","MALDA: Two persons were killed and 33 others injured, ten of them seriously, when a bus collided with a car at Dariyapur village in Malda district early on Thursday.",https://timesofindia.indiatimes.com/city/kolkata/2-killed-33-injured-in-road-accident-near-malda/articleshow/33151959.cms
1567,"Road accidents cause 1.17 million deaths, says DIG","FATEHGARH SAHIB: Road accidents were a major worldwide problem and resulting over 1.17 million deaths and 10 million persons being injured or crippled every year, said Iqbal Preet Singh Sahota, DIG, Patiala Range, here on Thursday.",https://timesofindia.indiatimes.com/city/chandigarh/road-accidents-cause-1-17-million-deaths-says-dig/articleshow/141731.cms
1568,Jhilmil Colony residents die in GT Road accident,SONEPAT: Three members of a family including a woman were killed on the spot when the car in which they were travelling collided with another vehicle on the G T Road near Bahalgarh Chowk about 10 km from here on Saturday.,https://timesofindia.indiatimes.com/city/delhi/jhilmil-colony-residents-die-in-gt-road-accident/articleshow/663184747.cms
1569,"After Sanguem deaths, MLAs express concern over accidents",,https://timesofindia.indiatimes.com/city/goa/after-sanguem-deaths-mlas-express-concern-over-accidents/articleshow/102328422.cms
1570,24 injured as bus hits lorry near Kanchi,,https://timesofindia.indiatimes.com/city/chennai/24-injured-as-bus-hits-lorry-near-kanchi/articleshow/102463862.cms
1571,AP student dies in London accident,,https://timesofindia.indiatimes.com/city/vijayawada/ap-student-dies-in-london-accident/articleshow/102186674.cms
1572,Brain-dead youth saves four lives,,https://timesofindia.indiatimes.com/city/vijayawada/brain-dead-youth-saves-four-lives/articleshow/102029009.cms
1573,School student named in FIR for causing accident,,https://timesofindia.indiatimes.com/city/mysuru/school-student-named-in-fir-for-causing-accident/articleshow/102186650.cms
1574,"6 devotees killed, 8 injured in UP's Hathras as truck hits tractor-trolley",Six people died while eight others sustained injuries when a truck collided with a Mathura-bound tractor-trolley carrying devotees.,https://timesofindia.indiatimes.com/city/agra/6-devotees-killed-8-injured-in-ups-hathras-as-truck-hits-tractor-trolley/articleshow/102451725.cms
1575,12-year-old dies in auto-bus collision,,https://timesofindia.indiatimes.com/city/patna/12-year-old-dies-in-auto-bus-collision/articleshow/102485792.cms
1576,Class XII boy dies in accident near Lalgudi,,https://timesofindia.indiatimes.com/city/trichy/class-xii-boy-dies-in-accident-near-lalgudi/articleshow/102094239.cms
1577,Kin of man who died in Mum-Pune e-way crash get Rs 1.5cr after 5 years,"The Motor Accident Claims Tribunal (MACT) of Thane awarded a compensation of Rs 1.49 crore to a woman and her two children, five years after the accidental death of her husband in a Road accident.",https://timesofindia.indiatimes.com/city/thane/kin-of-man-who-died-in-mum-pune-e-way-crash-get-rs-1-5cr-after-5-years/articleshow/102153486.cms
1578,"Man booked for gathering people on Samruddhi Expressway, chanting mantras to prevent accidents","Police on Monday said that a case has been registered against a man for assembling people at a spot on the Samruddhi Expressway where a bus fire claimed 25 lives, and installing a 'mahamrutyunjay yantra' and reciting mantras to prevent accidents.",https://timesofindia.indiatimes.com/city/nagpur/man-booked-for-gathering-people-on-samruddhi-expressway-chanting-mantras-to-prevent-accidents/articleshow/102130847.cms
1579,Leopard knocked dead on NH6 near Bhandara,,https://timesofindia.indiatimes.com/city/nagpur/leopard-knocked-dead-on-nh6-near-bhandara/articleshow/102000691.cms
1580,"Motor vehicle inspector, his assistant die in road mishap in Andhra Pradesh",A motor vehicle inspector and his assistant were killed in a Road accident near Alamkhan palli village in YSR district on Saturday.,https://timesofindia.indiatimes.com/city/amaravati/motor-vehicle-inspector-his-assistant-die-in-road-mishap-in-andhra-pradesh/articleshow/101602071.cms
1581,"Woman, 3 daughters die in Unnao ambulance crash while bringing husband's body home",,https://timesofindia.indiatimes.com/city/lucknow/woman-3-daughters-die-in-unnao-ambulance-crash-while-bringing-husbands-body-home/articleshow/102195182.cms
1582,Two techies killed as car hits truck in Jangaon dist,Two techies were killed in a Road accident in the wee hours of Saturday when the car they were travelling in rammed into a parked sand truck on NH-163 at Komalla Toll Plaza.,https://timesofindia.indiatimes.com/city/hyderabad/two-techies-killed-as-car-hits-truck-in-jangaon-dist/articleshow/101792664.cms
1583,3 killed as bus on way to PM Modi's meet collides with truck in Bilaspur,,https://timesofindia.indiatimes.com/city/raipur/3-killed-as-bus-on-way-to-pm-modis-meet-collides-with-truck-in-bilaspur/articleshow/101589066.cms
1584,3 dead as road caves in pulling car down into nala in Shimla,Three persons travelling in a car fell into a nala and died after a stretch of the road they were on caved in near Sharan Dhank in Nankneri area in Shimla on Tuesday.,https://timesofindia.indiatimes.com/city/shimla/3-dead-as-road-caves-in-pulling-car-down-into-nala-in-shimla/articleshow/101856621.cms
1585,Kin of power lineman killed in accident get ₹85L compensation,,https://timesofindia.indiatimes.com/city/bhopal/kin-of-power-lineman-killed-in-accident-get-85l-compensation/articleshow/102000756.cms
1586,"Seven months after collision with temple pillar, FIR filed against Tathya","Nearly seven months after he allegedly rammed his Jaguar into the pillar of a temple in Gandhinagar, Gandhinagar police on Tuesday filed a complaint against Tathya Patel — who is accused of killing nine men in a Road accident on Iskcon flyover on July 20.",https://timesofindia.indiatimes.com/city/ahmedabad/seven-months-after-collision-with-temple-pillar-fir-filed-against-tathya/articleshow/102154669.cms
1587,Kin of man killed in 2019 bus accident awarded Rs 21 lakh,The MACT has awarded a compensation of Rs 21 lakh to the family of a 44-year-old luxury bus cleaner who died in a Road accident in November 2019.,https://timesofindia.indiatimes.com/city/thane/kin-of-man-killed-in-2019-bus-accident-awarded-21-lakh/articleshow/101771392.cms
1588,Couple killed as minibus hits bike in Garden Reach,,https://timesofindia.indiatimes.com/city/kolkata/couple-killed-as-minibus-hits-bike-in-garden-reach/articleshow/102259989.cms
1589,Four policemen injured after jeep skids off Tirumala ghat road,Four police personnel sustained injuries after their jeep skidded off the ghat road in Tirumala on Wednesday.,https://timesofindia.indiatimes.com/city/amaravati/four-policemen-injured-after-jeep-skids-off-tirumala-ghat-road/articleshow/101170824.cms
1590,"3 killed, 6 injured as bus carrying people to PM Modi's mega rally in Raipur collides with truck","Three people were killed while six others suffered injuries, including three critically wounded, in a Road accident when the vehicle carrying people for Prime Minister Narendra Modi’s programme in Raipur, collided with a truck in Bilaspur district of Chhattisgarh on early Friday morning. The bus carrying about 40 people was coming from Ambikapur.",https://timesofindia.indiatimes.com/city/raipur/3-killed-6-injured-as-bus-carrying-people-to-pm-modis-mega-rally-in-raipur-collides-with-truck/articleshow/101562002.cms
1591,"Nashik, Pune among Maharashtra's 5 most accident-prone districts","State transport commissioner Vivek Bhimanwar said Nashik, Pune, Solapur, Satara and Ahmednagar are the most accident-prone district in Maharashtra.",https://timesofindia.indiatimes.com/city/nashik/nashik-pune-among-maharashtras-5-most-accident-prone-districts/articleshow/99879128.cms
1592,‘Accidents peak from 6-9pm as tired people rush home’,,https://timesofindia.indiatimes.com/city/goa/accidents-peak-from-6-9pm-as-tired-people-rush-home/articleshow/99969800.cms
1593,Three road crashes in three states claim 18 lives,"Eighteen were killed and 31 injured in accidents in Maharashtra, UP & Telangana. Ten were killed after a truck hit 11 vehicles on Mumbai-Agra NH and ploughed into a dhaba in Dhule.",https://timesofindia.indiatimes.com/city/nashik/three-road-crashes-in-three-states-claim-18-lives/articleshow/101498778.cms
1594,"Bihar transport minister Sheela Kumari: Rs 10,000 reward for helping accident victims in 'golden hour'","The Good Samaritans, who saved the lives of Road accident victims by rushing them to hospital within the 'golden hour' of the mishap, will now be given a cash award of Rs 10,000, said state transport minister Sheela Kumari at a meeting of the Bihar Road Safety Council on Wednesday. The minister said the scheme was launched to encourage people to save the lives of victims of fatal accidents.",https://timesofindia.indiatimes.com/city/patna/bihar-transport-minister-sheela-kumari-rs-10000-reward-for-helping-accident-victims-in-golden-hour/articleshow/99799731.cms
1595,"Bike taxi driver killed, pillion rider suffers injuries",A 33-year-old bike taxi rider was killed in a Road accident near Padi flyover on Tuesday night after colliding with a van. The pillion rider survived with minor injuries.,https://timesofindia.indiatimes.com/city/chennai/bike-taxi-driver-killed-pillion-rider-suffers-injuries/articleshow/100487197.cms
1596,"2 on bike trip to Ladakh crash on Yamuna e-way, 1 killed",Two men from Nagpur on a biking trip to Ladakh met with an accident on the Yamuna Expressway near milestone 124 under Baldeo police station of Mathura district. One of them died in hospital later.,https://timesofindia.indiatimes.com/city/agra/2-on-bike-trip-to-ladakh-crash-on-yamuna-e-way-1-killed/articleshow/101527798.cms
1597,"Cop, doctor and student die in two separate accidents",,https://timesofindia.indiatimes.com/city/coimbatore/cop-doctor-and-student-die-in-two-separate-accidents/articleshow/101742998.cms
1598,Odisha's Ganjam identifies 26 black spots prone to accidents,"The Ganjam administration has identified 26 places across the district as black spots and accident-prone areas. “The places where at least five persons have died in Road accidents in a year are black spots, while areas vulnerable to mishaps have been tagged accident-prone,” said Manas Sahoo, regional transport officer (RTO), Ganjam.",https://timesofindia.indiatimes.com/city/bhubaneswar/ganjam-identifies-26-black-spots-prone-to-accidents/articleshow/100000563.cms
1599,"Black spots down to 11 from 15, but crashes up","The Noida traffic police has revised its list of accident-prone black spots to 11 from the previous 15. Cops said a slew of corrective measures — cracking down on speeding, wrong-side driving and jaywalking — and a host of remedial actions adopted by them have paid off.",https://timesofindia.indiatimes.com/city/noida/black-spots-down-to-11-from-15-but-crashes-up/articleshow/100220556.cms
1600,Court orders insurance company to pay Rs 1.6 crore to accident victim,"Principal senior civil judge and additional motor accidents claim tribunal (MACT), Belagavi recently ordered an insurance company to pay Rs 1.6 crore compensation to the dependents of the victim, who died in a Road accident involving a motorbike and a truck.",https://timesofindia.indiatimes.com/city/hubballi/court-orders-insurance-company-to-pay-1-6-crore-to-accident-victim/articleshow/101771945.cms
1601,Sikh detainees seek ‘Qaumi Shaheed’ tag for dead radicals,"Waris Punjab De chief Amritpal Singh and other Sikh detainees in Dibrugarh jail, Assam, have appealed to the Sikh community to bestow the status of ‘Qaumi Shaheed’ (community martyrs) on recently deceased Khalistan radicals Hardeep Singh Nijjar and Avtar Singh Khanda. Khanda and Nijjar died in the UK and Canada, respectively.",https://timesofindia.indiatimes.com/city/chandigarh/sikh-detainees-seek-qaumi-shaheed-tag-for-dead-radicals/articleshow/101587173.cms
1602,"Come December, AI cameras to deter traffic violations in Goa’s 70 accident-prone zones","To curb Road accidents in Goa, 70 priority locations of accident zones have been identified across the state. Here, AI cameras will be installed by December to monitor vehicular traffic and detect violations by motorists to strengthen the implementation of ITMS (Intelligent Traffic Management Systems). This was discussed in the State Road Safety Council meeting held at the ITMS control room at Altinho on Friday.",https://timesofindia.indiatimes.com/city/goa/come-december-ai-cameras-to-deter-traffic-violations-in-goas-70-accident-prone-zones/articleshow/101403887.cms
1603,2 elderly couples dead as car catches fire in road mishap,"Four persons, including two elderly couples, were allegedly charred to death after a car they were travelling in, collided with a truck and caught fire on the Dehradun-Ambala highway in UP's Saharanpur district on Tuesday.",https://timesofindia.indiatimes.com/city/meerut/2-elderly-couples-dead-as-car-catches-fire-in-road-mishap/articleshow/101915991.cms
1604,"Traffic cops identify 43 accident-prone spots in Bhopal, Karond Square most unsafe","After analysing Road accidents data of 2021 and 2022 across jurisdiction of 34 police stations in city, traffic police has identified 43 accident-prone spots. While Karond Square tops the list as the most accident-prone spot with 45 s, the stretch of road in front of ISBT bus stand has been identified as the second most accident-prone spot with 29 accidents. Bhanpur Bypass in Chhola area has been identified as third with 26 s followed by Lalghati Square in Koh-e-Fiza with 25 s. A spot near Chetak Bridge in Govindpura and Gyarah Meel in front of Hanuman Temple in Misrod stands at fourth place with 23 s each.",https://timesofindia.indiatimes.com/city/bhopal/traffic-cops-identify-43-accident-prone-spots-in-bhopal-karond-square-most-unsafe/articleshow/99527103.cms
1605,"Telangana: Teen, granddad killed in accident",A man and his granddaughter died in a Road accident when a Telangana State Road Transport Corporation (TSRTC) bus hit their bike at the Bhagirthipeta crossroads in Regonda mandal.,https://timesofindia.indiatimes.com/city/hyderabad/telangana-teen-granddad-killed-in-accident/articleshow/100437093.cms
1606,Six injured in accident,,https://timesofindia.indiatimes.com/city/indore/six-injured-in-accident/articleshow/99921069.cms
1607,Two brothers killed in hit-and-run case in Telangana,"Two brothers were killed in a Road accident on Monday after they were hit by an unknown vehicle at Ananthasagar crossroads, under Hasanparthy mandal police station limits. The deceased were identified as E Shivaram (26) and his brother E Harikrishna (23), residents of Huzurabad.",https://timesofindia.indiatimes.com/city/hyderabad/two-brothers-killed-in-hit-and-run-case-in-telangana/articleshow/100436961.cms
1608,7 ‘black spots’ most prone to accidents marked in Assam,"The National Highways Authority of India (NHAI) has identified seven “black spots” that have taken many lives in Road accidents over the years in Assam, from central to western part of the state.",https://timesofindia.indiatimes.com/city/guwahati/7-black-spots-most-prone-to-accidents-marked-in-assam/articleshow/100264890.cms
1609,"Bihar: Judge's father, 2 uncles die in Saharsa accident","Three family members of a judicial magistrate posted in a Patna district court were killed and three others, including the judge himself, were injured in a Road accident near Tengraha Mor on NH-107 under the Simri Bakhtiyarpur police station in Saharsa district in the wee hours of Monday.",https://timesofindia.indiatimes.com/city/patna/judges-father-2-uncles-die-in-saharsa-accident/articleshow/101291284.cms
1610,Former ZPTC member killed in car-RTC bus collision in Warangal,"Former ZPTC of Kesamudram, Vem Purushotham Reddy, 65, died in a Road accident near Gangadevipalli village of Geesugonda mandal on Saturday.",https://timesofindia.indiatimes.com/city/hyderabad/former-zptc-member-killed-in-car-rtc-bus-collision-in-warangal/articleshow/100562031.cms
1611,Iskcon bridge mishap: Case to be heard in fast-track court; Gujarat CM Bhupendra Patel announces Rs 4 lakh each to families of deceased,,https://timesofindia.indiatimes.com/city/ahmedabad/iskcon-bridge-mishap-case-to-be-heard-in-fast-track-court-gujarat-cm-announces-rs-4-lakh-each-to-families-of-deceased/articleshow/101994076.cms
1612,Install CCTVs in accident-prone areas: Court,"A Delhi court has directed the police commissioner to have meetings with civic agencies such as National Highway Authority of India, Public Works Department and Delhi Cantonment Board for installation of CCTV cameras at NH-8, Ring Road, Dhaula Kuan as well as surrounding areas.",https://timesofindia.indiatimes.com/city/delhi/install-cctvs-in-accident-prone-areas-court/articleshow/100262688.cms
1613,Mahabubnagar student dies in accident in US,"An Indian student, Boya Mahesh, 25, from Telangana died in a Road accident in Minnesota, US, on May 23. A native of Kappeta village, Bhoothpur mandal, he was pursuing his higher education from Concordia University.",https://timesofindia.indiatimes.com/city/hyderabad/mahabubnagar-student-dies-in-accident-in-us/articleshow/100515687.cms
1614,"Truck ploughs into Bihar-bound bus near Greater Noida; boy killed, 27 injured","A private bus headed to Bihar from Punjab was hit by a truck on the Eastern Peripheral Expressway in the early hours of Friday, leaving an 11-year-old boy dead and 27 other passengers of the bus injured.",https://timesofindia.indiatimes.com/city/noida/truck-ploughs-into-bihar-bound-bus-on-epe-boy-killed-27-injured/articleshow/100539538.cms
1615,Six devotees injured as bus skids off Ghat Road near Tirumala,At least 29 devotees sustained injuries after a bus skidded off Ghat Road and turned turtle near Tirumala in Andhra Pradesh on Wednesday.,https://timesofindia.indiatimes.com/city/vijayawada/six-devotees-injured-as-bus-skids-off-ghat-road-near-tirumala/articleshow/100472429.cms
1616,Brain dead man’s organs give new lease of life to five patients in TN,,https://timesofindia.indiatimes.com/city/madurai/brain-dead-mans-organs-give-new-lease-of-life-to-five-patients-in-tn/articleshow/100899516.cms
1617,"Traffic violations rise by 23%, accidents 9%","The city witnessed an increase in the number of traffic violations as well as accidents during the first half of the year. There was a 23% rise in traffic violations as compared to the corresponding period of the last year while accidents on the city roads went up by 9%. Of the 576 accidents in the last six months, 135 were fatal in which 141 were killed.",https://timesofindia.indiatimes.com/city/nagpur/traffic-violations-rise-by-23-accidents-9/articleshow/101792936.cms
1618,"5 killed, 9 hurt as truck ploughs into marriage party in Keonjhar",,https://timesofindia.indiatimes.com/city/bhubaneswar/5-killed-9-hurt-as-truck-ploughs-into-marriage-party-in-keonjhar/articleshow/101359764.cms
1619,Mother-daughter duo killed in freak accident,,https://timesofindia.indiatimes.com/city/nagpur/mother-daughter-duo-killed-in-freak-accident/articleshow/100557554.cms
1620,Death toll rises to 5 in Narsingi crash,"The death toll from a major Road accident in Narsingi has risen to five, with the latest fatality being 21-year-old Prasad, the driver of the car.",https://timesofindia.indiatimes.com/city/hyderabad/death-toll-rises-to-5-in-narsingi-crash/articleshow/100388882.cms
1621,'Victims aged 26-45 made upmost fatalities in accidents',"People aged between 26-45 years, including women, made up maximum fatalities in Road accidents on the highways in Maharashtra in 2022, shows data compiled by the state highway police.",https://timesofindia.indiatimes.com/city/nashik/victims-aged-26-45-made-upmost-fatalities-in-accidents/articleshow/100271400.cms
1622,"Heavy rain wreaks havoc in Himachal Pradesh, five people killed; 11 houses damaged, several vehicles and bridges washed away",A woman was buried under the debris in the landslide that occurred at Lankabekar area of Kullu.,https://timesofindia.indiatimes.com/city/shimla/heavy-rain-wreaks-havoc-in-himachal-pradesh-five-people-killed-11-houses-damaged-several-vehicles-and-bridges-washed-away/articleshow/101610896.cms
1623,"Road safety plan, sub-committees to check accidents",,https://timesofindia.indiatimes.com/city/indore/road-safety-plan-sub-committees-to-check-accidents/articleshow/99627930.cms
1624,"Bad roads to blame for crashes, city sees rise in trauma cases: Docs",Doctors at several hospitals in the city said they are witnessing a rise in people facing trauma after Road accidents.,https://timesofindia.indiatimes.com/city/gurgaon/bad-roads-to-blame-for-crashes-city-sees-rise-in-trauma-cases-docs/articleshow/101742132.cms
1625,2 killed as mini-truck hits bike in Lucknow's Malihabad,"Two youths riding a motorcycle were killed in a Road accident which was reported on Monday midnight in Malihabad police station area. The deceased were identified as Sachin Kashyap (19) and his brother Vipin Kashyap (16), both of Malihabad.",https://timesofindia.indiatimes.com/city/lucknow/2-killed-as-mini-truck-hits-bike/articleshow/100977942.cms
1626,"3 dead, 1 critically injured in 2 Ramgarh accidents",Three people died and one sustained critical injuries in two Road accidents in Ramgarh on Sunday.,https://timesofindia.indiatimes.com/city/ranchi/3-dead-1-critically-injured-in-2-ramgarh-accidents/articleshow/100405331.cms
1627,"Ahmedabad car accident: Witness in distress, faces social pressure","The main eyewitness, who captured the video of the Iskcon flyover horror, was among a group of 25 riders who were riding down SG Highway post-midnight on Thursday. The witness, who was in the lead and was wearing a dash camera on his helmet, spotted the crowd gathered at the collision spot between the Thar SUV and the truck, and radioed a warning on his walkie-talkie to the rest of the group. That’s when a speeding white car caught his attention, and moments later,the tragedy unfolded.",https://timesofindia.indiatimes.com/city/ahmedabad/witness-in-distress-faces-social-pressure/articleshow/102028347.cms
1628,"3 killed, 7 injured in AOB accident",,https://timesofindia.indiatimes.com/city/visakhapatnam/3-killed-7-injured-in-aob-accident/articleshow/100000046.cms
1629,"Bengaluru man orchestrates accident to kill wife in vain, held","The husband of a 24-year-old dance teacher, who had sustained injuries last year after an SUV hit her two-wheeler, has been arrested for orchestrating the accident in an attempt to murder his wife.",https://timesofindia.indiatimes.com/city/bengaluru/man-orchestrates-accident-to-kill-wife-in-vain-held/articleshow/101808388.cms
1630,"7 killed, 40 hurt after bus rams truck in Ayodhya","In a horrific Road accident in Ayodhya, at least 7 persons were killed on the spot while over 40 passengers were injured, many of them seriously, when the bus they were travelling in collided with a truck on Gorakhpur national highway. The accident occurred late on Friday evening.",https://timesofindia.indiatimes.com/city/lucknow/7-killed-40-hurt-after-bus-rams-truck-in-ayodhya/articleshow/99679306.cms
1631,3 tourists from Haryana killed in Haridwar accident,Three tourists from Rewari in Haryana were killed in a Road accident on Haridwar-Delhi highway in Bahadrabad area of Haridwar on Sunday night.,https://timesofindia.indiatimes.com/city/dehradun/3-tourists-from-haryana-killed-in-haridwar-accident/articleshow/100432795.cms
1632,"Eight killed, 40 injured in separate accidents in UP",Eight people were killed and at least 40 others injured in separate Road accidents involving tractor-trolleys in Agra and Muzaffarnagar districts of Uttar Pradesh on Monday.,https://timesofindia.indiatimes.com/city/agra/eight-killed-40-injured-in-separate-accidents-in-up/articleshow/101470269.cms
1633,"Boy falls off bike after collision, dragged by car for 100m in Gurgaon, dies","A 10-year-old boy riding pillion on a motorcycle driven by his father died after a speeding car hit the two-wheeler, allegedly dragging him under its wheels for 100-150 metres near Tethar village of Badshapur on Sunday evening.",https://timesofindia.indiatimes.com/city/gurgaon/boy-falls-off-bike-after-collision-dragged-by-car-for-100m-dies/articleshow/101469697.cms
1634,"Seven killed in separate road mishaps in Doda, Ramban; 13 injured",At least seven people were killed and 13 others injured in two road mishaps when vehicles in which they were travelling in skidded off the roads and fell into a deep gorges on Bhaderwah Pathankot road in Doda district and in Rampaari area of Ramban district of Jammu and Kashmir on Tuesday.,https://timesofindia.indiatimes.com/city/jammu/five-killed-12-injured-as-vehicle-falls-into-gorge-in-jammu-and-kashmir/articleshow/101312740.cms
1635,2 children among nine killed as milk tanker rams tempo in UP's Fatehpur,"Under the supervision of the state government, the local administration is fully engaged in helping the victims,"" Prime Minister Narendra Modi said.",https://timesofindia.indiatimes.com/city/allahabad/2-children-among-nine-killed-as-milk-tanker-rams-tempo-in-ups-fatehpur/articleshow/100289653.cms
1636,"2 of wedding party killed, 5 critical",,https://timesofindia.indiatimes.com/city/hyderabad/2-of-wedding-party-killed-5-critical/articleshow/100220662.cms
1637,3 killed as trucks collide head-on in Janjgir-Champa dist,Three persons were killed while another is critical in a Road accident involving two trucks in near Hathnevara village in the Janjgir-Champa district in the early hours of Saturday.,https://timesofindia.indiatimes.com/city/raipur/3-killed-as-trucks-collide-head-on-in-janjgir-champa-dist/articleshow/100389730.cms
1638,Elderly man dies in accident,"A 71-year-old man died in a Road accident when a speeding car hit his motorcycle. He was rushed to DMC hospital, where he died during treatment on Saturday night. The victim's grandson escaped unhurt.",https://timesofindia.indiatimes.com/city/ludhiana/elderly-man-dies-in-accident/articleshow/100237187.cms
1639,3 killed as car rams into lorry after tyre burst,Three persons were killed and another seriously injured in a Road accident on the NH in Devarapalli mandal of East Godavari district on Tuesday.,https://timesofindia.indiatimes.com/city/visakhapatnam/3-killed-as-car-rams-into-lorry-after-tyre-burst/articleshow/100296233.cms
1640,6 T agri workers killed in accident,,https://timesofindia.indiatimes.com/city/vijayawada/6-t-agri-workers-killed-in-accident/articleshow/100316852.cms
1641,Sawant: Studying accidents issue,,https://timesofindia.indiatimes.com/city/goa/sawant-studying-accidents-issue/articleshow/99917727.cms
1642,High-mast lights on accident-prone roads,,https://timesofindia.indiatimes.com/city/ranchi/high-mast-lights-on-accident-prone-roads/articleshow/100290806.cms
1643,"SI, driver die in accident in Mulugu",A sub-inspector (SI) and driver were killed in a Road accident at Jeedikal Vagu in Eturnagaram on Tuesday. B Indiraiah was working as a SI in Eturnagaram police station and Ch Raju was a driver for the police escort vehicle.,https://timesofindia.indiatimes.com/city/hyderabad/si-driver-die-in-accident-in-mulugu/articleshow/99946583.cms
1644,Bengal couple on bike trip to Ladakh killed in Purvanchal Expressway crash,"A couple on an adventure trip to Ladakh on a sports bike died in a Road accident in Barabanki on Friday morning. Police said that Subrat Sanyal, 50, and his wife Parmita Sanyal, 46, who had been travelling to various destinations on their Royal Enfield for the past couple years, rammed into a divider on Purvanchal Expressway in Barabanki district early on Saturday.",https://timesofindia.indiatimes.com/city/lucknow/bengal-couple-on-bike-trip-to-ladakh-killed-in-e-way-crash/articleshow/100388780.cms
1645,‘Most fatal crashes in North Goa where roads are clear’,,https://timesofindia.indiatimes.com/city/goa/most-fatal-crashes-in-north-goa-where-roads-are-clear/articleshow/100974865.cms
1646,"Drunken driving, indiscipline behind spike in accidents: Goa CM Pramod Sawant","The vehicle population has increased compared to the state population, Goa CM Pramod Sawant pointed out.",https://timesofindia.indiatimes.com/city/goa/drunken-driving-indiscipline-behind-spike-in-accidents-goa-cm-pramod-sawant/articleshow/98136268.cms
1647,Driver gets 3-month jail for 2013 accident in Telangana,A local court sentenced an oil tanker driver to three months of jail on Thursday for causing the death of a sub-inspector in a Road accident in 2013 at Kethepally in Nalgonda district.,https://timesofindia.indiatimes.com/city/hyderabad/driver-gets-3-month-jail-for-2013-accident-in-telangana/articleshow/99651323.cms
1648,"Truck hits auto in Bihar's Sitamarhi, 6 of a family killed",Six of a family among seven persons died and four others were injured when the three-wheeler in which they were travelling was badly smashed by a truck near Pakari FCI godown under Sitamarhi police station area Wednesday evening.,https://timesofindia.indiatimes.com/city/patna/truck-hits-auto-in-bihars-sitamarhi-6-of-a-family-killed/articleshow/99971970.cms
1649,"Even 1 Covid death scares people, but not road fatalities: CM Pramod Sawant","Even as public anger simmers over the spate of road traffic accident deaths, chief minister Pramod Sawant on Tuesday appealed to the people to ride and drive carefully.",https://timesofindia.indiatimes.com/city/goa/even-1-covid-death-scares-people-but-not-road-fatalities/articleshow/99070776.cms
1650,Two-wheeler owners booked after minors cause accidents,"Trichy rural police have booked two people for allowing minor boys to ride their motorcycles leading to Road accidents in two areas in Trichy on Tuesday. In one case, Navalpattu police registered a case of rash and negligent driving endangering human life against a 20-year-old man of Thennampillai Thoppu in Pudukottai.",https://timesofindia.indiatimes.com/city/trichy/two-wheeler-owners-booked-after-minors-cause-accidents/articleshow/99283297.cms
1651,February 2023 saw 12% dip in accidents: DGP,"After recording a nearly nine per cent rise in Road accidents last year, strict enforcement of rules by the traffic police since the start of 2023 appears to have paid dividends. Director general of police (DGP) Jaspal Singh on Friday said that accidents declined by 12% this February when compared to the same period last year.",https://timesofindia.indiatimes.com/city/goa/february-2023-saw-12-dip-in-accidents-dgp/articleshow/98551000.cms
1652,"One dead, two injured in accident on Trichy-Karur NH",,https://timesofindia.indiatimes.com/city/trichy/one-dead-two-injured-in-accident-on-trichy-karur-nh/articleshow/100061504.cms
1653,AC repairer killed in hit-&-run,AC repairer Alfaiz Qureshi (22) lost his life in a Road accident on Tuesday morning on a flyover in front of IndiaBulls building in Lower Parel.,https://timesofindia.indiatimes.com/city/mumbai/ac-repairer-killed-in-hit-run/articleshow/99449292.cms
1654,"Month after accident, police file case in woman’s death",,https://timesofindia.indiatimes.com/city/bhopal/month-after-accident-police-file-case-in-womans-death/articleshow/99654567.cms
1655,Man killed as wild boar hits bike,,https://timesofindia.indiatimes.com/city/hyderabad/man-killed-as-wild-boar-hits-bike/articleshow/99330086.cms
1656,Jubilee Hills accident: Driver held in Hyderabad,"A 35-year-old security guard, who suffered severe injuries in a Road accident in Jubilee Hills on April 28 while walking his employer's dog, succumbed while undergoing treatment on Monday.",https://timesofindia.indiatimes.com/city/hyderabad/jubilee-hills-accident-driver-held-in-hyderabad/articleshow/99946248.cms
1657,"3 dead, 17 injured as van plunges into 50ft-deep pit in Theni","Three people, including a child died after a wedding party met with a Road accident in Theni district's Bodimettu area on Saturday evening. Seventeen people who suffered injuries have been rushed to the Theni Medical College Hospital where the condition of four people remains critical.",https://timesofindia.indiatimes.com/city/madurai/3-dead-17-injured-as-van-plunges-into-50ft-deep-pit-in-theni/articleshow/99701425.cms
1658,"Crackdown on goods carriers ferrying people, drunk driving",,https://timesofindia.indiatimes.com/city/nashik/crackdown-on-goods-carriers-ferrying-people-drunk-driving/articleshow/100434122.cms
1659,Sudanese student dies in accident,,https://timesofindia.indiatimes.com/city/ludhiana/sudanese-student-dies-in-accident/articleshow/100045299.cms
1660,6 people killed in separate accidents across state,,https://timesofindia.indiatimes.com/city/kochi/6-people-killed-in-separate-accidents-across-state/articleshow/99831434.cms
