sno,data,link,date
37,"[['76.04199598340588', '18.484328022472212']]",https://timesofindia.indiatimes.com/city/nagpur/for-the-first-time-post-pandemic-road-accident-victims-all-organs-donated/articleshow/99718582.cms,"Apr 24, 2023"
38,"['on Samruddhi Expressway', ['78.7919637299578', '27.612141890738172']]",https://timesofindia.indiatimes.com/city/nagpur/samruddhi-100-days-900-accidents-31-fatalities/articleshow/98880781.cms,"Mar 22, 2023"
39,[],https://timesofindia.indiatimes.com/city/nagpur/dept-heads-to-also-face-action-if-bikers-visit-govt-office-sans-helmets/articleshow/99599762.cms,"Apr 19, 2023"
40,[],https://timesofindia.indiatimes.com/city/pune/brain-dead-woman-gives-life-to-three/articleshow/99528160.cms,"Apr 16, 2023"
41,"[['80.2404929662393', '19.788281302267936']]",https://timesofindia.indiatimes.com/city/nagpur/fatal-accidents-drop-31-in-city-rise-67-in-gadchiroli/articleshow/99527784.cms,"Apr 16, 2023"
42,"[['75.48667564398278', '20.93350334463394']]",https://timesofindia.indiatimes.com/city/nashik/rise-in-fatal-accidents-in-jalgaon-dist-last-yr/articleshow/99507093.cms,"Apr 15, 2023"
43,"[['72.0431380501599', '24.68998411339258'], ['71.84995314558398', '23.854521239691']]",https://timesofindia.indiatimes.com/city/pune/hit-by-car-biker-killed-on-punes-katraj-dehu-road-bypass/articleshow/98529239.cms,"Mar 10, 2023"
44,[],https://timesofindia.indiatimes.com/city/nashik/52-dead-in-road-accidents-in-nashik-in-first-3-months-of-2023/articleshow/99775587.cms,"Apr 26, 2023"
45,"[['73.07375991682007', '19.125619727341167'], 'at Mahalaxmi Bharatmata']",https://timesofindia.indiatimes.com/city/mumbai/amar-mahal-other-junctions-to-focus-on-pedestrian-needs/articleshow/99310270.cms," Apr 7, 2023"
46,['on Amravati Road'],https://timesofindia.indiatimes.com/city/nagpur/woman-senior-citizen-among-4-killed-in-separate-road-accidents/articleshow/99701464.cms,"Apr 23, 2023"
47,"[['86.65720122609561', '24.047406490450445']]",https://timesofindia.indiatimes.com/city/pune/4-dead-after-compact-suv-hits-road-divider-before-crashing-into-truck-on-pune-mumbai-expressway/articleshow/99305103.cms," Apr 6, 2023"
48,"[['73.32196506473151', '19.361282010294744'], ['73.07375991682007', '19.125619727341167']]",https://timesofindia.indiatimes.com/city/thane/woman-out-on-morning-walk-suffers-multiple-fractures-as-speeding-car-hits-her-in-thane/articleshow/99234959.cms," Apr 4, 2023"
